timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-09-25 17:45:51,0.00,11,100.00,52,healthy
2025-09-25 17:46:04,0.00,11,100.00,99,healthy
2025-09-25 17:46:17,0.00,11,100.00,38,healthy
2025-09-25 17:46:30,90.56,966.6,94.39,116,unhealthy
2025-09-25 17:46:44,0.00,11,100.00,67,healthy
2025-09-25 17:46:57,0.00,11,100.00,47,healthy
2025-09-25 17:47:10,0.00,11,100.00,65,healthy
2025-09-25 17:47:25,82.27,863.4,84.32,2086,unhealthy
2025-09-25 17:47:38,0.00,11,100.00,14,unhealthy
2025-09-25 17:47:51,0.00,11,100.00,67,healthy
2025-09-25 17:48:05,0.00,11,100.00,19,unhealthy
2025-09-25 17:48:18,0.00,11,100.00,29,unhealthy
2025-09-25 17:48:32,83.64,922.1,90.05,709,unhealthy
2025-09-25 17:48:55,0.00,3.477,0.34,8878,healthy
2025-09-25 17:49:10,97.42,193.8,18.93,9407,unhealthy
2025-09-25 17:49:24,99.93,975.9,95.30,610,unhealthy
2025-09-25 17:49:37,0.00,11,100.00,26,unhealthy
2025-09-25 17:49:49,0.00,11,100.00,17,unhealthy
2025-09-25 17:50:00,0.00,11,100.00,17,unhealthy
2025-09-25 17:50:16,78.40,691.3,67.51,4425,unhealthy
2025-09-25 17:50:29,96.64,984.1,96.10,63,unhealthy
2025-09-25 17:50:41,85.58,516.4,50.43,35,unhealthy
2025-09-25 17:50:56,78.14,568.9,55.56,5407,healthy
2025-09-25 17:51:10,69.35,602.9,58.88,2834,healthy
2025-09-25 17:51:14,0.00,11,100.00,83,healthy
2025-09-25 17:51:27,103.20,832.8,81.33,2469,unhealthy
2025-09-25 17:51:38,82.44,688,67.19,2214,healthy
2025-09-25 17:51:48,86.56,394.1,38.49,2824,healthy
2025-09-25 17:51:54,0.00,11,100.00,32,unhealthy
2025-09-25 17:52:05,95.66,754.3,73.66,2741,healthy
2025-09-25 17:52:14,95.14,586.1,57.24,1231,healthy
2025-09-25 17:52:19,0.00,11,100.00,65,healthy
2025-09-25 17:52:26,88.47,525.3,51.30,365,healthy
2025-09-25 17:52:34,86.04,1012,98.83,1286,healthy
2025-09-25 17:52:41,80.17,577,56.35,380,healthy
2025-09-25 17:52:47,88.13,1008,98.44,27,unhealthy
2025-09-25 17:52:54,107.83,627,61.23,694,healthy
2025-09-25 17:53:00,0.00,11,100.00,11,unhealthy
2025-09-25 17:53:06,98.81,565.4,55.21,237,healthy
2025-09-25 17:53:13,95.46,1001,97.75,1063,healthy
2025-09-25 17:53:18,9.05,24.14,2.36,24,healthy
2025-09-25 17:53:36,71.86,913.9,89.25,1861,unhealthy
2025-09-25 17:53:50,0.00,11,100.00,12,unhealthy
2025-09-25 17:54:05,0.00,11,100.00,13,unhealthy
2025-09-25 17:54:21,0.00,11,100.00,22,healthy
2025-09-25 17:54:38,0.00,11,100.00,42,unhealthy
2025-09-25 17:54:51,0.00,11,100.00,74,healthy
2025-09-25 17:55:04,0.00,11,100.00,17,unhealthy
2025-09-25 17:55:17,0.00,11,100.00,53,unhealthy
2025-09-25 17:55:32,0.00,11,100.00,12,unhealthy
2025-09-25 17:55:48,0.00,11,100.00,14,unhealthy
2025-09-25 17:56:01,0.00,11,100.00,59,healthy
2025-09-25 17:56:13,0.00,11,100.00,15,unhealthy
2025-09-25 17:56:29,0.00,11,100.00,23,unhealthy
2025-09-25 17:56:41,0.00,11,100.00,16,unhealthy
2025-09-25 17:56:54,0.00,11,100.00,34,unhealthy
2025-09-25 17:57:07,0.00,11,100.00,12,unhealthy
2025-09-25 17:57:20,0.00,11,100.00,26,unhealthy
2025-09-25 17:57:35,0.00,11,100.00,33,unhealthy
2025-09-25 17:57:52,0.00,11,100.00,16,unhealthy
2025-09-25 17:58:07,0.00,11,100.00,14,unhealthy
2025-09-25 17:58:20,0.00,11,100.00,70,healthy
2025-09-25 17:58:31,0.00,11,100.00,47,healthy
2025-09-25 17:58:47,0.00,11,100.00,15,unhealthy
2025-09-25 17:58:59,0.00,11,100.00,67,healthy
2025-09-25 17:59:15,0.00,11,100.00,74,healthy
2025-09-25 17:59:26,0.00,11,100.00,69,healthy
2025-09-25 17:59:41,0.00,11,100.00,65,healthy
2025-09-25 17:59:56,0.00,11,100.00,25,healthy
2025-09-25 18:00:14,0.00,11,100.00,15,unhealthy
2025-09-25 18:00:28,0.00,11,100.00,15,unhealthy
2025-09-25 18:00:41,0.00,11,100.00,38,unhealthy
2025-09-25 18:01:09,77.16,131.2,12.81,12480,unhealthy
2025-09-25 18:01:23,0.00,11,100.00,11,unhealthy
2025-09-25 18:01:37,0.00,11,100.00,60,healthy
2025-09-25 18:01:49,0.00,11,100.00,41,unhealthy
2025-09-25 18:02:01,0.00,11,100.00,37,unhealthy
2025-09-25 18:02:17,0.00,11,100.00,12,unhealthy
2025-09-25 18:02:31,0.00,11,100.00,35,unhealthy
2025-09-25 18:02:47,0.00,11,100.00,28,unhealthy
2025-09-25 18:03:02,0.00,11,100.00,52,unhealthy
2025-09-25 18:03:16,0.00,11,100.00,12,unhealthy
2025-09-25 18:03:31,0.00,11,100.00,12,unhealthy
2025-09-25 18:03:44,0.00,11,100.00,12,unhealthy
2025-09-25 18:03:55,0.00,11,100.00,55,healthy
2025-09-25 18:04:25,0.00,17.46,1.71,10268,healthy
2025-09-25 18:04:30,0.00,11,100.00,11,unhealthy
2025-09-25 18:04:44,0.00,11,100.00,22,unhealthy
2025-09-25 18:04:58,0.00,11,100.00,16,unhealthy
2025-09-25 18:05:13,0.00,11,100.00,19,unhealthy
2025-09-25 18:05:27,0.00,11,100.00,17,unhealthy
2025-09-25 18:05:38,0.00,11,100.00,28,unhealthy
2025-09-25 18:05:54,0.00,11,100.00,84,healthy
2025-09-25 18:06:05,0.00,11,100.00,35,unhealthy
2025-09-25 18:06:20,0.00,11,100.00,12,unhealthy
2025-09-25 18:06:36,78.87,,,26,unhealthy
2025-09-25 18:07:05,0.00,2.953,0.29,11189,healthy
2025-09-25 18:07:25,76.51,40.01,3.91,12364,unhealthy
2025-09-25 18:07:39,0.00,11,100.00,53,healthy
2025-09-25 18:07:53,0.00,11,100.00,13,unhealthy
2025-09-25 18:08:08,0.00,11,100.00,55,healthy
2025-09-25 18:08:21,0.00,11,100.00,16,unhealthy
